X	Y
0	1
0.007007007	1.006982401
0.014014014	1.013915361
0.021021021	1.020798539
0.028028028	1.027631599
0.035035035	1.034414204
0.042042042	1.041146022
0.049049049	1.047826721
0.056056056	1.054455974
0.063063063	1.061033456
0.07007007	1.067558843
0.077077077	1.074031815
0.084084084	1.080452054
0.091091091	1.086819245
0.098098098	1.093133076
0.105105105	1.099393236
0.112112112	1.105599418
0.119119119	1.111751318
0.126126126	1.117848632
0.133133133	1.123891063
0.14014014	1.129878313
0.147147147	1.135810088
0.154154154	1.141686098
0.161161161	1.147506053
0.168168168	1.153269667
0.175175175	1.158976659
0.182182182	1.164626747
0.189189189	1.170219654
0.196196196	1.175755106
0.203203203	1.181232831
0.21021021	1.18665256
0.217217217	1.192014027
0.224224224	1.197316968
0.231231231	1.202561123
0.238238238	1.207746235
0.245245245	1.212872049
0.252252252	1.217938314
0.259259259	1.22294478
0.266266266	1.227891202
0.273273273	1.232777338
0.28028028	1.237602946
0.287287287	1.242367791
0.294294294	1.247071638
0.301301301	1.251714256
0.308308308	1.256295418
0.315315315	1.260814898
0.322322322	1.265272475
0.329329329	1.26966793
0.336336336	1.274001046
0.343343343	1.278271612
0.35035035	1.282479417
0.357357357	1.286624255
0.364364364	1.290705922
0.371371371	1.294724219
0.378378378	1.298678947
0.385385385	1.302569912
0.392392392	1.306396924
0.399399399	1.310159795
0.406406406	1.31385834
0.413413413	1.317492376
0.42042042	1.321061727
0.427427427	1.324566216
0.434434434	1.328005672
0.441441441	1.331379925
0.448448448	1.334688811
0.455455455	1.337932166
0.462462462	1.341109831
0.469469469	1.34422165
0.476476476	1.347267471
0.483483483	1.350247144
0.49049049	1.353160522
0.497497497	1.356007463
0.504504505	1.358787827
0.511511512	1.361501478
0.518518519	1.364148281
0.525525526	1.366728107
0.532532533	1.36924083
0.53953954	1.371686326
0.546546547	1.374064475
0.553553554	1.37637516
0.560560561	1.378618268
0.567567568	1.380793689
0.574574575	1.382901315
0.581581582	1.384941044
0.588588589	1.386912775
0.595595596	1.388816412
0.602602603	1.390651861
0.60960961	1.392419031
0.616616617	1.394117837
0.623623624	1.395748194
0.630630631	1.397310023
0.637637638	1.398803246
0.644644645	1.400227792
0.651651652	1.401583589
0.658658659	1.402870571
0.665665666	1.404088675
0.672672673	1.405237841
0.67967968	1.406318013
0.686686687	1.407329138
0.693693694	1.408271166
0.700700701	1.40914405
0.707707708	1.409947749
