X	Y
0	1
0.1001001	1.094927183
0.2002002	1.178892321
0.3003003	1.251054782
0.4004004	1.310692101
0.500500501	1.357207208
0.600600601	1.39013441
0.700700701	1.40914405
0.800800801	1.414045811
0.900900901	1.404790617
1.001001001	1.381471128
1.101101101	1.344320812
1.201201201	1.293711605
1.301301301	1.230150189
1.401401401	1.15427292
1.501501502	1.066839456
1.601601602	0.968725152
1.701701702	0.860912295
1.801801802	0.744480272
1.901901902	0.620594761
2.002002002	0.490496062
2.102102102	0.35548668
2.202202202	0.216918285
2.302302302	0.076178176
2.402402402	-0.065324604
2.502502503	-0.206173375
2.602602603	-0.344958007
2.702702703	-0.480289035
2.802802803	-0.61081157
2.902902903	-0.735218863
3.003003003	-0.85226539
3.103103103	-0.960779321
3.203203203	-1.05967425
3.303303303	-1.147960074
3.403403403	-1.224752905
3.503503504	-1.28928392
3.603603604	-1.340907054
3.703703704	-1.379105474
3.803803804	-1.403496751
3.903903904	-1.413836687
4.004004004	-1.410021763
4.104104104	-1.392090171
4.204204204	-1.360221437
4.304304304	-1.314734621
4.404404404	-1.25608512
4.504504505	-1.184860115
4.604604605	-1.101772686
4.704704705	-1.007654676
4.804804805	-0.903448365
4.904904905	-0.79019703
5.005005005	-0.669034506
5.105105105	-0.541173832
5.205205205	-0.407895107
5.305305305	-0.270532672
5.405405405	-0.130461754
5.505505506	0.010915303
5.605605606	0.15218308
5.705705706	0.291927251
5.805805806	0.428748744
5.905905906	0.561277747
6.006006006	0.688187425
6.106106106	0.808207201
6.206206206	0.920135475
6.306306306	1.022851661
6.406406406	1.115327397
6.506506507	1.196636848
6.606606607	1.26596597
6.706706707	1.322620664
6.806806807	1.366033721
6.906906907	1.395770505
7.007007007	1.4115333
7.107107107	1.413164296
7.207207207	1.400647162
7.307307307	1.374107217
7.407407407	1.333810169
7.507507508	1.280159459
7.607607608	1.21369222
7.707707708	1.1350739
7.807807808	1.045091599
7.907907908	0.94464619
8.008008008	0.834743298
8.108108108	0.716483236
8.208208208	0.591049982
8.308308308	0.459699334
8.408408408	0.323746329
8.508508509	0.184552084
8.608608609	0.043510165
8.708708709	-0.097967363
8.808808809	-0.238464074
8.908908909	-0.376573363
9.009009009	-0.510912525
9.109109109	-0.640136601
9.209209209	-0.762951844
9.309309309	-0.878128667
9.409409409	-0.98451396
9.50950951	-1.081042627
9.60960961	-1.166748257
9.70970971	-1.240772792
9.80980981	-1.302375125
9.90990991	-1.350938513
10.01001001	-1.385976756
10.11011011	-1.407139062
10.21021021	-1.414213562
10.31031031	-1.407129427
10.41041041	-1.385957583
10.51051051	-1.350909994
10.61061061	-1.302337546
10.71071071	-1.240726529
10.81081081	-1.166693772
10.91091091	-1.080980467
11.01101101	-0.984444746
11.11111111	-0.878053093
11.21121121	-0.762870666
11.31131131	-0.640050632
11.41141141	-0.510822625
11.51151151	-0.376480433
