1 60 -5 5 60
   0.00000    1.00000
   0.11864    1.11134
   0.23729    1.20705
   0.35593    1.28579
   0.47458    1.34645
   0.59322    1.38818
   0.71186    1.41039
   0.83051    1.41277
   0.94915    1.39529
   1.06780    1.35820
   1.18644    1.30200
   1.30508    1.22750
   1.42373    1.13574
   1.54237    1.02802
   1.66102    0.90583
   1.77966    0.77092
   1.89831    0.62516
   2.01695    0.47062
   2.13559    0.30945
   2.25424    0.14394
   2.37288   -0.02360
   2.49153   -0.19080
   2.61017   -0.35533
   2.72881   -0.51485
   2.84746   -0.66714
   2.96610   -0.81005
   3.08475   -0.94157
   3.20339   -1.05985
   3.32203   -1.16323
   3.44068   -1.25025
   3.55932   -1.31970
   3.67797   -1.37059
   3.79661   -1.40221
   3.91525   -1.41412
   4.03390   -1.40614
   4.15254   -1.37839
   4.27119   -1.33127
   4.38983   -1.26542
   4.50847   -1.18179
   4.62712   -1.08153
   4.74576   -0.96608
   4.86441   -0.83703
   4.98305   -0.69622
   5.10169   -0.54563
   5.22034   -0.38736
   5.33898   -0.22364
   5.45763   -0.05678
   5.57627    0.11088
   5.69492    0.27698
   5.81356    0.43918
   5.93220    0.59522
   6.05085    0.74288
   6.16949    0.88009
   6.28814    1.00494
   6.40678    1.11565
   6.52542    1.21068
   6.64407    1.28869
   6.76271    1.34857
   6.88136    1.38950
   7.00000    1.41089
