1 60 -5 5 60
-1000.00000 -5002003017.00000
-966.10169 -4510436708.43876
-932.20339 -4052179277.61087
-898.30508 -3626062153.24080
-864.40678 -3230916764.05301
-830.50847 -2865574538.77194
-796.61017 -2528866906.12206
-762.71186 -2219625294.82782
-728.81356 -1936681133.61367
-694.91525 -1678865851.20408
-661.01695 -1445010876.32349
-627.11864 -1233947637.69637
-593.22034 -1044507564.04717
-559.32203 -875522084.10034
-525.42373 -725822626.58034
-491.52542 -594240620.21162
-457.62712 -479607493.71865
-423.72881 -380754675.82588
-389.83051 -296513595.25776
-355.93220 -225715680.73875
-322.03390 -167192360.99330
-288.13559 -119775064.74587
-254.23729 -82295220.72093
-220.33898 -53584257.64291
-186.44068 -32473604.23628
-152.54237 -17794689.22550
-118.64407 -8378941.33501
 -84.74576 -3057789.28928
 -50.84746 -662661.81276
 -16.94915 -24987.62991
  16.94915 23804.53482
  50.84746 652285.95697
  84.74576 3029027.91209
 118.64407 8322601.67572
 152.54237 17701578.52340
 186.44068 32334529.73068
 220.33898 53390026.57310
 254.23729 82036640.32621
 288.13559 119442942.26555
 322.03390 166777503.66667
 355.93220 225208895.80511
 389.83051 295905689.95641
 423.72881 380036457.39612
 457.62712 478769769.39978
 491.52542 593274197.24294
 525.42373 724718312.20114
 559.32203 874270685.54992
 593.22034 1043099888.56483
 627.11864 1232374492.52142
 661.01695 1443263068.69523
 694.91525 1676934188.36180
 728.81356 1934556422.79667
 762.71186 2217298343.27539
 796.61017 2526328521.07351
 830.50847 2862815527.46657
 864.40678 3227927933.73011
 898.30508 3622834311.13968
 932.20339 4048703230.97082
 966.10169 4506703264.49908
1000.00000 4998002983.00000
