2 60 -5 5 60
  -3.14000   -3.14000   -3.00000
  -3.07657   -3.14000   -2.99524
  -3.01313   -3.14000   -2.98146
  -2.94970   -3.14000   -2.95869
  -2.88626   -3.14000   -2.92702
  -2.82283   -3.14000   -2.88657
  -2.75939   -3.14000   -2.83749
  -2.69596   -3.14000   -2.77995
  -2.63253   -3.14000   -2.71418
  -2.56909   -3.14000   -2.64041
  -2.50566   -3.14000   -2.55890
  -2.44222   -3.14000   -2.46998
  -2.37879   -3.14000   -2.37395
  -2.31535   -3.14000   -2.27117
  -2.25192   -3.14000   -2.16201
  -2.18848   -3.14000   -2.04689
  -2.12505   -3.14000   -1.92621
  -2.06162   -3.14000   -1.80041
  -1.99818   -3.14000   -1.66997
  -1.93475   -3.14000   -1.53534
  -1.87131   -3.14000   -1.39702
  -1.80788   -3.14000   -1.25550
  -1.74444   -3.14000   -1.11131
  -1.68101   -3.14000   -0.96496
  -1.61758   -3.14000   -0.81698
  -1.55414   -3.14000   -0.66789
  -1.49071   -3.14000   -0.51822
  -1.42727   -3.14000   -0.36852
  -1.36384   -3.14000   -0.21932
  -1.30040   -3.14000   -0.07113
  -1.23697   -3.14000    0.07552
  -1.17354   -3.14000    0.22012
  -1.11010   -3.14000    0.36216
  -1.04667   -3.14000    0.50115
  -0.98323   -3.14000    0.63662
  -0.91980   -3.14000    0.76810
  -0.85636   -3.14000    0.89516
  -0.79293   -3.14000    1.01736
  -0.72949   -3.14000    1.13431
  -0.66606   -3.14000    1.24562
  -0.60263   -3.14000    1.35093
  -0.53919   -3.14000    1.44991
  -0.47576   -3.14000    1.54225
  -0.41232   -3.14000    1.62768
  -0.34889   -3.14000    1.70595
  -0.28545   -3.14000    1.77682
  -0.22202   -3.14000    1.84013
  -0.15859   -3.14000    1.89569
  -0.09515   -3.14000    1.94340
  -0.03172   -3.14000    1.98314
   0.03172   -3.14000    2.01485
   0.09515   -3.14000    2.03851
   0.15859   -3.14000    2.05411
   0.22202   -3.14000    2.06169
   0.28545   -3.14000    2.06131
   0.34889   -3.14000    2.05307
   0.41232   -3.14000    2.03709
   0.47576   -3.14000    2.01353
   0.53919   -3.14000    1.98259
   0.60263   -3.14000    1.94447
   0.66606   -3.14000    1.89943
   0.72949   -3.14000    1.84774
   0.79293   -3.14000    1.78968
   0.85636   -3.14000    1.72560
   0.91980   -3.14000    1.65582
   0.98323   -3.14000    1.58072
   1.04667   -3.14000    1.50069
   1.11010   -3.14000    1.41613
   1.17354   -3.14000    1.32746
   1.23697   -3.14000    1.23512
   1.30040   -3.14000    1.13957
   1.36384   -3.14000    1.04125
   1.42727   -3.14000    0.94065
   1.49071   -3.14000    0.83824
   1.55414   -3.14000    0.73450
   1.61758   -3.14000    0.62993
   1.68101   -3.14000    0.52500
   1.74444   -3.14000    0.42021
   1.80788   -3.14000    0.31603
   1.87131   -3.14000    0.21296
   1.93475   -3.14000    0.11146
   1.99818   -3.14000    0.01199
   2.06162   -3.14000   -0.08498
   2.12505   -3.14000   -0.17903
   2.18848   -3.14000   -0.26972
   2.25192   -3.14000   -0.35665
   2.31535   -3.14000   -0.43942
   2.37879   -3.14000   -0.51766
   2.44222   -3.14000   -0.59101
   2.50566   -3.14000   -0.65916
   2.56909   -3.14000   -0.72179
   2.63253   -3.14000   -0.77862
   2.69596   -3.14000   -0.82940
   2.75939   -3.14000   -0.87390
   2.82283   -3.14000   -0.91192
   2.88626   -3.14000   -0.94330
   2.94970   -3.14000   -0.96789
   3.01313   -3.14000   -0.98558
   3.07657   -3.14000   -0.99630
   3.14000   -3.14000   -1.00000
  -3.14000   -3.07657   -3.00000
  -3.07657   -3.07657   -2.99524
  -3.01313   -3.07657   -2.98146
  -2.94970   -3.07657   -2.95869
  -2.88626   -3.07657   -2.92702
  -2.82283   -3.07657   -2.88657
  -2.75939   -3.07657   -2.83749
  -2.69596   -3.07657   -2.77995
  -2.63253   -3.07657   -2.71418
  -2.56909   -3.07657   -2.64041
  -2.50566   -3.07657   -2.55890
  -2.44222   -3.07657   -2.46998
  -2.37879   -3.07657   -2.37395
  -2.31535   -3.07657   -2.27117
  -2.25192   -3.07657   -2.16201
  -2.18848   -3.07657   -2.04689
  -2.12505   -3.07657   -1.92621
  -2.06162   -3.07657   -1.80041
  -1.99818   -3.07657   -1.66997
  -1.93475   -3.07657   -1.53534
