1 60 -5 5 60
 -10.00000 -5247.00000
  -9.66102 -4741.22064
  -9.32203 -4269.20519
  -8.98305 -3829.78509
  -8.64407 -3421.79178
  -8.30508 -3044.05666
  -7.96610 -2695.41118
  -7.62712 -2374.68676
  -7.28814 -2080.71484
  -6.94915 -1812.32683
  -6.61017 -1568.35418
  -6.27119 -1347.62830
  -5.93220 -1148.98063
  -5.59322 -971.24260
  -5.25424 -813.24562
  -4.91525 -673.82115
  -4.57627 -551.80059
  -4.23729 -446.01538
  -3.89831 -355.29695
  -3.55932 -278.47673
  -3.22034 -214.38615
  -2.88136 -161.85663
  -2.54237 -119.71961
  -2.20339  -86.80650
  -1.86441  -61.94875
  -1.52542  -43.97778
  -1.18644  -31.72502
  -0.84746  -24.02190
  -0.50847  -19.69984
  -0.16949  -17.59027
   0.16949  -16.52463
   0.50847  -15.33435
   0.84746  -12.85084
   1.18644   -7.90555
   1.52542    0.67011
   1.86441   14.04470
   2.20339   33.38680
   2.54237   59.86497
   2.88136   94.64778
   3.22034  138.90382
   3.55932  193.80164
   3.89831  260.50982
   4.23729  340.19694
   4.57627  434.03156
   4.91525  543.18225
   5.25424  668.81759
   5.59322  812.10614
   5.93220  974.21648
   6.27119 1156.31718
   6.61017 1359.57682
   6.94915 1585.16395
   7.28814 1834.24716
   7.62712 2107.99501
   7.96610 2407.57608
   8.30508 2734.15893
   8.64407 3088.91214
   8.98305 3473.00428
   9.32203 3887.60393
   9.66102 4333.87964
  10.00000 4813.00000
